매장명,주소,위도,경도
(하)화성휴게소점,경기 화성시 팔탄면 서해안고속도로 301-1 화성휴게소 (하행),37.142125699176,126.879478187788
(상)화성휴게소점,경기도 화성시 팔탄면 서해안고속도로 302 화성휴게소(상행),37.1435877181782,126.881222749028
중앙대점,서울특별시 동작구 흑석로 77 1~4층 .,37.5069826807571,126.958246364678
고양신원점,"경기도 고양시 덕양구 권율대로 896-19 101,201호 (신원동 636-3)",37.6329969196136,126.8653632448
부천심곡점,경기도 부천시 장말로 376  심곡동 355-1,37.4897842925275,126.783646638614
제주연북로DI점,제주특별자치도 제주시  오남로 166 (오라이동 1550-11),33.481390098639,126.51532274666
군산선유도점,전라북도 군산시 옥도면 선유북길 125-1 선유도리 213-3,35.8137504352676,126.41036202645
독립문역점,"서울특별시 종로구 통일로 230 (무악동, 경희궁롯데캐슬) 상가동 1층,117호  .",37.574370395598,126.958628749004
익산모현점,전라북도 익산시 선화로3길 16-10 1층,35.9499946821138,126.938898087364
성균관대점,서울특별시 종로구 성균관로 6 (명륜2가 204) 1~4층,37.5835462396105,126.998405014649
대전건양대병원점,"대전광역시 서구 관저동로 158 (관저동, 건양대학교병원) 신관 B1 .",36.3077818180786,127.342646778061
대전유성온천점,대전 유성구 온천로 45  1층,36.3558166482127,127.34301917889
스틸랜드점,"경기도 시흥시 오이도로 21 (정왕동, STEELLAND) 1층",37.3451349895581,126.700735199234
거제휴게소점,경상남도 거제시 장목면 거가대로 1068 .,34.9733370259241,128.692868079721
가덕휴게소점,부산광역시 강서구 거가대로 2571 (천성동) .,35.0230125817673,128.809573489493
태릉입구역점,서울특별시 노원구 화랑로 453 (그린힐) 1층,37.6186229019207,127.07756822431
마산저도점,경상남도 창원시 마산합포구 구산면 해양관광로 1872-50 2~3층,35.1196814231662,128.580842336194
충북옥천점,충청북도 옥천군 옥천읍 송신길 172 /서대리 13-2,36.2916238320324,127.579549664011
화성조암점,"경기도 화성시 우정읍 쌍봉로 76 1층, 103호",37.0870465380707,126.815228619166
구로디지털점,"서울특별시 구로구 디지털로31길 12  1층 105,106호 (구로동 197-21)",37.4851756855256,126.894869839407
(상)안성맞춤휴게소점,경기도 안성시 서운면 평택제천고속도로 41 (안성맞춤휴게소평택방향) .,36.9703159329913,127.274577544488
나주빛가람혁신도시점,전라남도 나주시 배멧3길 5-4 .,35.0188876529535,126.785712535593
청계천점,"서울특별시 종로구  청계천로 81 1,2,3,4층",37.5685338389728,126.986587063819
인천대입구역점,"인천광역시 연수구 인천타워대로132번길 34 (송도동) 104호,105호",37.386363983184,126.64394494869
